,domain,revenue,is_confidential,name,seller_id,seller_type,_merge
1545,spectator.co.uk,,0,The Spectator,c1eb26ab1bb12aca032262987f56e37e,PUBLISHER,right_only
1546,nonli.com,,0,Non.li,c23e46e0177187712affff51d0e427a5,PUBLISHER,right_only
1547,buzzosphere.net,,0,pay4perf,c25f577b8b56bd1b4372d8b1a8886eed,PUBLISHER,right_only
1548,ribnica24.eu,,0,Ribnica24,c25f75da64ffcd9d9a51c4ef5dc0df25,PUBLISHER,right_only
1549,newsquest.co.uk,,0,Newsquest,c306d46170acc5c3979ecd0546963060,PUBLISHER,right_only
1550,berliner-zeitung.de,,0,BVZ BM Vermarktung GmbH (DuMont),c31c4d768367ae66c9c1c325fefb2a59,PUBLISHER,right_only
1551,facebook.com,,0,malik,c31ec9e7d0e17d457e0cdbe748fa0e86,PUBLISHER,right_only
1552,radaronline.com,,0,Adtriggers,c329b181cbdb3e69f8eb1ccb338f5800,PUBLISHER,right_only
1553,cngroup.co.uk,,0,The CN Group,c3354f2c1f86dcf687499a3d13be8aa6,PUBLISHER,right_only
1554,rea-group.com,,0,REA Group [HB],c34ee11355b16e50c2605eaf7e8bed69,PUBLISHER,right_only
1555,marieclaire.fr,,0,GMC Connect,c3572974be07b1dddac01249a9093513,PUBLISHER,right_only
1556,superdeporte.es,,0,Superdeportes,c358fb0761fac7b13b4d599b9229d29b,PUBLISHER,right_only
1557,awkwardfamilyphotos.com,,0,Awkward Family Photos,c360bf73d4dfe0ed277fb422c0212b1b,PUBLISHER,right_only
1558,xyzediciones.com,,0,xyz ediciones,c36b5d69576bb4b0e0705361211c9db8,PUBLISHER,right_only
1559,timeoutdubai.com,,0,ITP,c39290301f436baec628c2cbe3c8284c,PUBLISHER,right_only
1560,canalplus.fr,,0,Canal +,c3aae8f30a1f92bdae4d43f68f296b62,PUBLISHER,right_only
1561,atmedia.hu,,0,Atmedia Group,c3be321b9adb529f7b2b9137a6022065,PUBLISHER,right_only
1562,animaals.com,,0,animaals,c3edcdd36ff5c5bba4fc6d3c8c1fc3db,PUBLISHER,right_only
1563,bingereport.com,,0,Binge Report,c454813ee5f97027eff8a689b4576dda,PUBLISHER,right_only
1564,,,0,test,c465d812adba67b874b48f748d88afa8,PUBLISHER,right_only
1565,accuweather.com,706.2050600000003,0,Accuweather,c475d6d2ba4fe2aa9ff50418dc7196ff,PUBLISHER,both
1566,ividence.com,,0,Ividence,c476b3a7e6238090266734ca628f8ae7,PUBLISHER,right_only
1567,soluce.jeuxactu.com,,0,Presse Manette,c48576b3308593c181aa034062e73662,PUBLISHER,right_only
1568,parkourpress.blogspot.com,,0,dont have,c486085603bd55cf06e24098e1f75b1c,PUBLISHER,right_only
1569,mmaimports.com,,0,Magnetic Internet Media Inc.,c4a152cf843407deffb51f3fd3803105,PUBLISHER,right_only
1570,media.net,,0,MediaNet,c4bf4fdd9b0b915f746f6747ff432bde,PUBLISHER,right_only
1571,ringieraxelspringer.hu,,0,Ringier Axel Springer,c528eb4b03a00da744a5c155d56597b7,PUBLISHER,right_only
1572,tappx.com,,0,Tappx,c53771c1352a569e88848a2895809744,PUBLISHER,right_only
1573,nws.ai,,0,Newsroom,c53c42195ca82f4fa0a948a8e27fc9fa,PUBLISHER,right_only
1574,hotgamesvault.com,,0,Megan White,c564f2c754ac07112bb80bfc3fb0b39e,PUBLISHER,right_only
1575,goodmad.com,,0,30M Limited,c592d00636480730b58376bdf5e2c855,PUBLISHER,right_only
1576,technutty.co.uk,,0,TechNutty,c5b4d0dbb99c80dc0dc2470dbcc7786b,PUBLISHER,right_only
1577,landing.adback.co,,0,ADBACK,c615bcec52a892d43cc099277b0a4852,PUBLISHER,right_only
1578,purjianto.top,,0,purjianto,c67007c4eb4e9dd1517f783e33da9f45,PUBLISHER,right_only
1579,recursosculturales.com,,0,recursosculturales.com,c68a8994f228fc0523d43ca81fe4fbc7,PUBLISHER,right_only
1580,elitegirl.pw,,0,Elitegirl,c6c7caf1a090e6aac6ff50f598f623fc,PUBLISHER,right_only
1581,kawarizmi.com,,0,Kawarizmi,c6ce0968e2865199074e9374a7a9caad,PUBLISHER,right_only
